"","PC1","PC2","PC3","PC4","PC5"
"AnnualMeanTemp",0.096503005055204,0.0226292533031875,0.0235694895837569,0.0708428264009402,0.0581119382764207
"MeanDiurnalRange",0.0207578111270682,0.0684763681477736,0.264615079181602,0.0365171293429023,0.0950371835326267
"Isothermality",0.0877957598252843,0.00870726876130368,0.117393872775137,0.05868294036441,0.0110885858273226
"TempSeasonality",0.0943892481965111,0.00787270036112218,0.0523941969563931,0.0891724836640618,0.0504309822029743
"MaxTWarmestMonth",0.0656993651248561,0.0577192575203405,0.0266226398309227,0.275667791848285,0.0156804528615068
"MinTColdestMonth",0.0985684704162686,0.0107943549599242,0.0159260373851523,0.001110742728466,0.0589265211810208
"TempRangeAnnual",0.0952877883350327,0.00662200421942922,0.00999186550499281,0.0917419327430001,0.0649313320231926
"AnnualPre",0.0753680466617088,0.0691990476549909,0.113893391146702,0.00903032513406829,0.141790478446228
"PreWetMonth",0.0468061575592571,0.136004068471438,0.142391146811212,0.0312547402567667,0.0985042471467472
"PreDryMonth",0.0658177228234406,0.108034139959597,0.0199772436955804,0.0624844649578387,0.167213888730514
"PreSeasonality",0.00402386653207155,0.182475264620778,0.0397356967488219,0.0404997169593092,0.0645484959577529
"CloudCover",0.0223205558611309,0.161351702935251,0.0167116660859589,0.0838297853441514,0.0247075612782078
"AnnualFrostDays",0.0951597898528632,0.0134878703965132,0.00717464436387165,0.0112463027698875,0.0763938124189771
"AnnualPET",0.0793587766693593,0.00958981909435068,0.0481034976575221,0.116260265583526,0.0685000014468462
"AnnualWetDays",0.0521436359599436,0.137036879594001,0.101499532272374,0.0216585519023863,0.00413451866966247
