"date.run","response","fixed","altitude_included","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic","linear.slope","lowerCI","upperCI"
2019-04-11,"GPP","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,3.96e-12,201,0.7392,0.9972,0.7837,0.09145,0.0827526625501561,0.103972234173159
2019-04-11,"NPP","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.658e-10,70,0.8021,0.9817,0.5075,0.08744,0.0765810327047566,0.107712256467982
2019-04-11,"BNPP_root","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.666e-05,79,0.4642,0.9817,1.444,0.05892,0.0419713696724437,0.0748324275897804
2019-04-11,"BNPP_root_fine","mat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01366,71,0.2718,0.8876,1.406,0.03718,0.0224677660231744,0.0559302152240866
2019-04-11,"GPP","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.001e-05,201,0.5261,0.9974,2.732,0.00064,0.000463692286570929,0.000880024524304759
2019-04-11,"NPP","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.831e-11,69,0.4931,0.9924,41.93,-0.00029,-0.000569888399871537,0.000467390897694815
2019-04-11,"BNPP_root","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.002817,82,0.2608,0.9847,10.58,0,-0.000384008357138311,0.000817477811715861
2019-04-11,"BNPP_root_fine","map",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01239,70,0.2891,0.8957,1.935,0.00041,0.000211476774421158,0.00068717890581239
2019-04-11,"GPP","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.188e-13,221,0.7169,0.997,1.845,-0.04889,-0.0540266019713312,-0.0435485325680546
2019-04-11,"NPP","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,7.416e-10,78,0.7161,0.9844,2.185,-0.04088,-0.047960161822875,-0.0364380361725204
2019-04-11,"BNPP_root","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.721e-08,92,0.5241,0.9849,1.901,-0.03376,-0.0434156757731374,-0.0264886431034293
2019-04-11,"BNPP_root_fine","lat",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01317,79,0.2467,0.9063,0.4834,-0.01935,-0.0275090673740725,-0.011739055157112
2019-04-11,"GPP","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.445e-12,221,0.7052,0.997,1.067,0.08595,0.0765618394315843,0.0958055173529504
2019-04-11,"NPP","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.845e-10,78,0.7672,0.9827,1.821,0.08467,0.0757477026913967,0.102947692731126
2019-04-11,"BNPP_root","AnnualMeanTemp",TRUE,"geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,8.812e-08,92,0.5114,0.9848,0.6945,0.06658,0.0553851342793978,0.0914902159655339
