response,fixed,random,equation,Age.filter,significant,p.value,sample.size,Rsq.R2m,Rsq.R2c,slope
GPP,mat,geographic.area/plot.name,GPP = -0.85 + mat x 0.09,age.greater.than.100,TRUE,6.49E-11,220,0.6952,0.9968,0.09
NPP,mat,geographic.area/plot.name,NPP = -1.02 + mat x 0.08,age.greater.than.100,TRUE,1.47E-10,72,0.7253,0.9818,0.08
BNPP_root,mat,geographic.area/plot.name,BNPP_root = -0.94 + mat x 0.06,age.greater.than.100,TRUE,7.14E-07,82,0.4423,0.9823,0.06
BNPP_root_fine,mat,geographic.area/plot.name,BNPP_root_fine = -0.59 + mat x 0.03,age.greater.than.100,TRUE,0.01123,72,0.2067,0.8977,0.03
GPP,map,geographic.area/plot.name,GPP = -0.21 + map x 0,age.greater.than.100,TRUE,0.02169,221,0.1137,0.997,0
NPP,map,geographic.area/plot.name,NPP = 0.38 + map x 0,age.greater.than.100,TRUE,0.01647,72,0.06396,0.994,0
BNPP_root,map,geographic.area/plot.name,BNPP_root = -0.02 + map x 0,age.greater.than.100,FALSE,0.9921,86,1.02E-05,0.987,0
BNPP_root_fine,map,geographic.area/plot.name,BNPP_root_fine = -0.61 + map x 0,age.greater.than.100,TRUE,0.01817,72,0.1908,0.9065,0
GPP,lat,geographic.area/plot.name,GPP = 1.88 + lat x -0.05,age.greater.than.100,TRUE,4.82E-13,244,0.6961,0.9971,-0.05
NPP,lat,geographic.area/plot.name,NPP = 1.11 + lat x -0.03,age.greater.than.100,TRUE,1.10E-08,82,0.6118,0.9863,-0.03
BNPP_root,lat,geographic.area/plot.name,BNPP_root = 0.9 + lat x -0.03,age.greater.than.100,TRUE,2.11E-08,96,0.4571,0.9879,-0.03
BNPP_root_fine,lat,geographic.area/plot.name,BNPP_root_fine = 0.44 + lat x -0.02,age.greater.than.100,TRUE,0.008859,82,0.2023,0.9189,-0.02
GPP,AnnualMeanTemp,geographic.area/plot.name,GPP = -0.79 + AnnualMeanTemp x 0.09,age.greater.than.100,TRUE,6.09E-14,244,0.697,0.9969,0.09
NPP,AnnualMeanTemp,geographic.area/plot.name,NPP = -0.96 + AnnualMeanTemp x 0.08,age.greater.than.100,TRUE,7.99E-11,82,0.722,0.9834,0.08
BNPP_root,AnnualMeanTemp,geographic.area/plot.name,BNPP_root = -0.96 + AnnualMeanTemp x 0.07,age.greater.than.100,TRUE,4.66E-08,96,0.4581,0.9852,0.07
BNPP_root_fine,AnnualMeanTemp,geographic.area/plot.name,BNPP_root_fine = -0.61 + AnnualMeanTemp x 0.04,age.greater.than.100,TRUE,0.00213,82,0.2621,0.9135,0.04
